time,sta_id,sta_name,lon,lat,level,value
2026-09-11 07:00:00,54419,怀柔区,116.63,40.36,1,2
2026-09-11 07:00:00,54424,平谷区,117.12,40.17,1,2
2026-09-11 07:00:00,54431,通州区,116.76,39.85,3,5
2026-09-11 07:00:00,54433,朝阳区,116.5,39.95,2,4
2026-09-11 07:00:00,54499,昌平区,116.21,40.22,2,3
2026-09-11 07:00:00,54505,门头沟区,116.16,39.89,1,2
2026-09-11 07:00:00,54513,石景山区,116.21,39.94,3,5
2026-09-11 07:00:00,54514,丰台区,116.25,39.87,3,6
2026-09-11 07:00:00,54594,大兴区,116.35,39.72,3,5
2026-09-11 07:00:00,54596,房山区,116.19,39.77,2,4
2026-09-11 07:00:00,A1014,东城区,116.43,39.91,1,2
2026-09-11 07:00:00,A1015,西城区,116.35,39.87,1,2
2026-09-11 08:00:00,54398,顺义区,116.62,40.13,5,17
2026-09-11 08:00:00,54399,海淀区,116.29,39.99,3,6
2026-09-11 08:00:00,54406,延庆区,115.97,40.45,3,7
2026-09-11 08:00:00,54416,密云区,116.86,40.38,1,2
2026-09-11 08:00:00,54419,怀柔区,116.63,40.36,1,2
2026-09-11 08:00:00,54424,平谷区,117.12,40.17,1,2
2026-09-11 08:00:00,54431,通州区,116.76,39.85,2,4
2026-09-11 08:00:00,54433,朝阳区,116.5,39.95,3,5
2026-09-11 08:00:00,54499,昌平区,116.21,40.22,3,5
2026-09-11 08:00:00,54505,门头沟区,116.16,39.89,1,2
2026-09-11 08:00:00,54513,石景山区,116.21,39.94,3,7
2026-09-11 08:00:00,54514,丰台区,116.25,39.87,2,4
2026-09-11 08:00:00,54594,大兴区,116.35,39.72,3,5
2026-09-11 08:00:00,54596,房山区,116.19,39.77,3,5
2026-09-11 08:00:00,A1014,东城区,116.43,39.91,1,2
2026-09-11 08:00:00,A1015,西城区,116.35,39.87,1,2
2026-09-11 09:00:00,54398,顺义区,116.62,40.13,4,15
2026-09-11 09:00:00,54399,海淀区,116.29,39.99,5,23
2026-09-11 09:00:00,54406,延庆区,115.97,40.45,3,7
2026-09-11 09:00:00,54416,密云区,116.86,40.38,3,6
2026-09-11 09:00:00,54419,怀柔区,116.63,40.36,4,9
2026-09-11 09:00:00,54424,平谷区,117.12,40.17,3,5
2026-09-11 09:00:00,54431,通州区,116.76,39.85,4,11
2026-09-11 09:00:00,54433,朝阳区,116.5,39.95,5,18
2026-09-11 09:00:00,54499,昌平区,116.21,40.22,4,15
2026-09-11 09:00:00,54505,门头沟区,116.16,39.89,4,11
2026-09-11 09:00:00,54513,石景山区,116.21,39.94,4,12
2026-09-11 09:00:00,54514,丰台区,116.25,39.87,4,12
2026-09-11 09:00:00,54594,大兴区,116.35,39.72,3,7
2026-09-11 09:00:00,54596,房山区,116.19,39.77,3,6
2026-09-11 09:00:00,A1014,东城区,116.43,39.91,5,16
2026-09-11 09:00:00,A1015,西城区,116.35,39.87,4,12
2026-09-11 10:00:00,54398,顺义区,116.62,40.13,5,26
2026-09-11 10:00:00,54399,海淀区,116.29,39.99,4,15
2026-09-11 10:00:00,54406,延庆区,115.97,40.45,4,12
2026-09-11 10:00:00,54416,密云区,116.86,40.38,5,27
2026-09-11 10:00:00,54419,怀柔区,116.63,40.36,4,13
2026-09-11 10:00:00,54424,平谷区,117.12,40.17,4,10
2026-09-11 10:00:00,54431,通州区,116.76,39.85,5,22
2026-09-11 10:00:00,54433,朝阳区,116.5,39.95,5,19
2026-09-11 10:00:00,54499,昌平区,116.21,40.22,4,12
2026-09-11 10:00:00,54505,门头沟区,116.16,39.89,4,10
2026-09-11 10:00:00,54513,石景山区,116.21,39.94,4,14
2026-09-11 10:00:00,54514,丰台区,116.25,39.87,4,12
2026-09-11 10:00:00,54594,大兴区,116.35,39.72,4,12
2026-09-11 10:00:00,54596,房山区,116.19,39.77,4,11
2026-09-11 10:00:00,A1014,东城区,116.43,39.91,5,26
2026-09-11 10:00:00,A1015,西城区,116.35,39.87,5,20
2026-09-11 11:00:00,54398,顺义区,116.62,40.13,4,15
2026-09-11 11:00:00,54399,海淀区,116.29,39.99,5,31
2026-09-11 11:00:00,54406,延庆区,115.97,40.45,5,20
2026-09-11 11:00:00,54416,密云区,116.86,40.38,5,29
2026-09-11 11:00:00,54419,怀柔区,116.63,40.36,4,14
2026-09-11 11:00:00,54424,平谷区,117.12,40.17,4,11
2026-09-11 11:00:00,54431,通州区,116.76,39.85,4,15
2026-09-11 11:00:00,54433,朝阳区,116.5,39.95,5,26
2026-09-11 11:00:00,54499,昌平区,116.21,40.22,5,16
2026-09-11 11:00:00,54505,门头沟区,116.16,39.89,4,15
2026-09-11 11:00:00,54513,石景山区,116.21,39.94,4,12
2026-09-11 11:00:00,54514,丰台区,116.25,39.87,4,10
2026-09-11 11:00:00,54594,大兴区,116.35,39.72,4,11
2026-09-11 11:00:00,54596,房山区,116.19,39.77,5,16
2026-09-11 11:00:00,A1014,东城区,116.43,39.91,5,18
2026-09-11 11:00:00,A1015,西城区,116.35,39.87,4,15
2026-09-11 12:00:00,54398,顺义区,116.62,40.13,5,22
2026-09-11 12:00:00,54399,海淀区,116.29,39.99,5,16
2026-09-11 12:00:00,54406,延庆区,115.97,40.45,5,20
2026-09-11 12:00:00,54416,密云区,116.86,40.38,5,20
2026-09-11 12:00:00,54419,怀柔区,116.63,40.36,5,32
2026-09-11 12:00:00,54424,平谷区,117.12,40.17,5,17
2026-09-11 12:00:00,54431,通州区,116.76,39.85,5,32
2026-09-11 12:00:00,54433,朝阳区,116.5,39.95,5,27
2026-09-11 12:00:00,54499,昌平区,116.21,40.22,5,19
2026-09-11 12:00:00,54505,门头沟区,116.16,39.89,5,16
2026-09-11 12:00:00,54513,石景山区,116.21,39.94,4,10
2026-09-11 12:00:00,54514,丰台区,116.25,39.87,4,13
2026-09-11 12:00:00,54594,大兴区,116.35,39.72,5,17
2026-09-11 12:00:00,54596,房山区,116.19,39.77,4,14
2026-09-11 12:00:00,A1014,东城区,116.43,39.91,5,33
2026-09-11 12:00:00,A1015,西城区,116.35,39.87,5,28
2026-09-11 13:00:00,54398,顺义区,116.62,40.13,5,17
2026-09-11 13:00:00,54399,海淀区,116.29,39.99,5,19
2026-09-11 13:00:00,54406,延庆区,115.97,40.45,5,17
2026-09-11 13:00:00,54416,密云区,116.86,40.38,5,25
2026-09-11 13:00:00,54419,怀柔区,116.63,40.36,5,16
2026-09-11 13:00:00,54424,平谷区,117.12,40.17,5,19
2026-09-11 13:00:00,54431,通州区,116.76,39.85,5,23
2026-09-11 13:00:00,54433,朝阳区,116.5,39.95,5,27
2026-09-11 13:00:00,54499,昌平区,116.21,40.22,5,16
2026-09-11 13:00:00,54505,门头沟区,116.16,39.89,4,13
2026-09-11 13:00:00,54513,石景山区,116.21,39.94,4,13
2026-09-11 13:00:00,54514,丰台区,116.25,39.87,4,10
2026-09-11 13:00:00,54594,大兴区,116.35,39.72,4,14
2026-09-11 13:00:00,54596,房山区,116.19,39.77,5,16
2026-09-11 13:00:00,A1014,东城区,116.43,39.91,5,28
2026-09-11 13:00:00,A1015,西城区,116.35,39.87,5,28
2026-09-11 14:00:00,54398,顺义区,116.62,40.13,5,27
2026-09-11 14:00:00,54399,海淀区,116.29,39.99,5,18
2026-09-11 14:00:00,54406,延庆区,115.97,40.45,5,22
2026-09-11 14:00:00,54416,密云区,116.86,40.38,5,34
2026-09-11 14:00:00,54419,怀柔区,116.63,40.36,5,20
2026-09-11 14:00:00,54424,平谷区,117.12,40.17,4,14
2026-09-11 14:00:00,54431,通州区,116.76,39.85,5,35
2026-09-11 14:00:00,54433,朝阳区,116.5,39.95,5,18
2026-09-11 14:00:00,54499,昌平区,116.21,40.22,5,28
2026-09-11 14:00:00,54505,门头沟区,116.16,39.89,4,11
2026-09-11 14:00:00,54513,石景山区,116.21,39.94,5,17
2026-09-11 14:00:00,54514,丰台区,116.25,39.87,5,17
2026-09-11 14:00:00,54594,大兴区,116.35,39.72,4,12
2026-09-11 14:00:00,54596,房山区,116.19,39.77,4,14
2026-09-11 14:00:00,A1014,东城区,116.43,39.91,5,35
2026-09-11 14:00:00,A1015,西城区,116.35,39.87,5,18
2026-09-11 15:00:00,54398,顺义区,116.62,40.13,4,11
2026-09-11 15:00:00,54399,海淀区,116.29,39.99,5,16
2026-09-11 15:00:00,54406,延庆区,115.97,40.45,4,14
2026-09-11 15:00:00,54416,密云区,116.86,40.38,3,6
2026-09-11 15:00:00,54419,怀柔区,116.63,40.36,2,4
2026-09-11 15:00:00,54424,平谷区,117.12,40.17,3,6
2026-09-11 15:00:00,54431,通州区,116.76,39.85,5,16
2026-09-11 15:00:00,54433,朝阳区,116.5,39.95,4,12
2026-09-11 15:00:00,54499,昌平区,116.21,40.22,4,12
2026-09-11 15:00:00,54505,门头沟区,116.16,39.89,4,13
2026-09-11 15:00:00,54513,石景山区,116.21,39.94,4,15
2026-09-11 15:00:00,54514,丰台区,116.25,39.87,4,12
2026-09-11 15:00:00,54594,大兴区,116.35,39.72,4,11
2026-09-11 15:00:00,54596,房山区,116.19,39.77,5,18
2026-09-11 15:00:00,A1014,东城区,116.43,39.91,3,5
2026-09-11 15:00:00,A1015,西城区,116.35,39.87,4,10
2026-09-11 16:00:00,54398,顺义区,116.62,40.13,5,16
2026-09-11 16:00:00,54399,海淀区,116.29,39.99,4,12
2026-09-11 16:00:00,54406,延庆区,115.97,40.45,5,16
2026-09-11 16:00:00,54416,密云区,116.86,40.38,3,5
2026-09-11 16:00:00,54419,怀柔区,116.63,40.36,3,5
2026-09-11 16:00:00,54424,平谷区,117.12,40.17,3,5
2026-09-11 16:00:00,54431,通州区,116.76,39.85,4,14
2026-09-11 16:00:00,54433,朝阳区,116.5,39.95,4,13
2026-09-11 16:00:00,54499,昌平区,116.21,40.22,4,12
2026-09-11 16:00:00,54505,门头沟区,116.16,39.89,4,13
2026-09-11 16:00:00,54513,石景山区,116.21,39.94,4,13
2026-09-11 16:00:00,54514,丰台区,116.25,39.87,4,9
2026-09-11 16:00:00,54594,大兴区,116.35,39.72,4,15
2026-09-11 16:00:00,54596,房山区,116.19,39.77,4,13
2026-09-11 16:00:00,A1014,东城区,116.43,39.91,2,4
2026-09-11 16:00:00,A1015,西城区,116.35,39.87,4,14
2026-09-11 17:00:00,54398,顺义区,116.62,40.13,5,16
2026-09-11 17:00:00,54399,海淀区,116.29,39.99,5,16
2026-09-11 17:00:00,54406,延庆区,115.97,40.45,4,14
2026-09-11 17:00:00,54416,密云区,116.86,40.38,3,6
2026-09-11 17:00:00,54419,怀柔区,116.63,40.36,3,5
2026-09-11 17:00:00,54424,平谷区,117.12,40.17,3,6
2026-09-11 17:00:00,54431,通州区,116.76,39.85,4,15
2026-09-11 17:00:00,54433,朝阳区,116.5,39.95,4,14
2026-09-11 17:00:00,54499,昌平区,116.21,40.22,5,16
2026-09-11 17:00:00,54505,门头沟区,116.16,39.89,4,12
2026-09-11 17:00:00,54513,石景山区,116.21,39.94,4,13
2026-09-11 17:00:00,54514,丰台区,116.25,39.87,4,13
2026-09-11 17:00:00,54594,大兴区,116.35,39.72,4,10
2026-09-11 17:00:00,54596,房山区,116.19,39.77,3,5
2026-09-11 17:00:00,A1014,东城区,116.43,39.91,2,4
2026-09-11 17:00:00,A1015,西城区,116.35,39.87,4,10
2026-09-11 18:00:00,54398,顺义区,116.62,40.13,5,16
